ImmunizationsMeasles
=========================================

Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZCLMToPatient.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZCQRToLM.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZCQRToPatient.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZD1LMToResources.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZD1QRToLM.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZD1QRToResources.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZD4LMToResources.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZD4QRToLM.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource StructureMap/IMMZD4QRToResources.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Error - unexpected non-end of element null::div  at line 340 column 425 (STRUCTURE)
Generic: line 0, col 0, Error - unexpected non-end of element null::div  at line 340 column 416 (STRUCTURE)
Generic: line 0, col 0, Error - unexpected non-end of element null::div  at line 340 column 412 (STRUCTURE)
Generic: line 0, col 0, Error - unexpected non-end of element null::div  at line 340 column 409 (STRUCTURE)
Generic: line 0, col 0, Warning - The HTML fragment 'ip-statements.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
Generic: line 0, col 0, Warning - An HTML fragment from the set [cross-version-analysis.xhtml, cross-version-analysis-inline.xhtml] is not included anywhere in the produced implementation guide (NOTFOUND)
Generic: line 0, col 0, Warning - An HTML fragment from the set [dependency-table.xhtml, dependency-table-short.xhtml] is not included anywhere in the produced implementation guide (NOTFOUND)
Generic: line 0, col 0, Warning - The HTML fragment 'globals-table.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
/github/workspace/fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json: line 1, col 1037, Info - A definition for CodeSystem 'http://id.who.int/icd/release/11/mms' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json: line 1, col 1021, Info - A definition for CodeSystem 'http://id.who.int/icd/release/11/mms' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json: line 1, col 1371, Warning - Profile reference 'http://smart.who.int/smart-base/StructureDefinition/SGPersona' has not been checked because it could not be found, and the validator is set to not fetch unknown profiles (STRUCTURE)
/github/workspace/fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json: line 0, col 0, Info - This resource could usefully have an OID assigned (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ActorDefinition-EPIManager.json: line 1, col 1293, Warning - Profile reference 'http://smart.who.int/smart-base/StructureDefinition/SGPersona' has not been checked because it could not be found, and the validator is set to not fetch unknown profiles (STRUCTURE)
/github/workspace/fsh-generated/resources/ActorDefinition-EPIManager.json: line 0, col 0, Info - This resource could usefully have an OID assigned (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ActorDefinition-HealthWorker.json: line 1, col 1116, Warning - Profile reference 'http://smart.who.int/smart-base/StructureDefinition/SGPersona' has not been checked because it could not be found, and the validator is set to not fetch unknown profiles (STRUCTURE)
